"last_name, first_name","player_id","year","player_age","ab","hit","home_run","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","b_rbi","r_total_stolen_base"
"Bell, Josh","605137","2023","30","547","135","22",".247",".419",".325","0.744","74","0"
"Betts, Mookie","605141","2023","30","584","179","39",".307",".579",".408","0.987","107","14"
"Davis, J.D.","605204","2023","30","480","119","18",".248",".412",".325","0.737","69","1"
"Arcia, Orlando","606115","2023","28","488","129","17",".264",".420",".321","0.741","65","1"
"Hernández, Teoscar","606192","2023","30","625","161","26",".258",".435",".305","0.740","93","7"
"Marte, Ketel","606466","2023","29","569","157","25",".276",".485",".358","0.843","82","8"
"Nimmo, Brandon","607043","2023","30","592","162","24",".274",".466",".363","0.829","68","3"
"Turner, Trea","607208","2023","30","639","170","26",".266",".459",".320","0.779","76","30"
"Ramírez, José","608070","2023","30","611","172","24",".282",".475",".356","0.831","80","28"
"Bregman, Alex","608324","2023","29","622","163","25",".262",".441",".363","0.804","98","3"
"Seager, Corey","608369","2023","29","477","156","33",".327",".623",".390","1.013","96","2"
"Meneses, Joey","608841","2023","31","611","168","13",".275",".401",".321","0.722","89","0"
"Swanson, Dansby","621020","2023","29","565","138","22",".244",".416",".328","0.744","80","9"
"Correa, Carlos","621043","2023","28","514","118","18",".230",".399",".312","0.711","65","0"
"Olson, Matt","621566","2023","29","608","172","54",".283",".604",".389","0.993","139","1"
"Santander, Anthony","623993","2023","28","591","152","28",".257",".472",".325","0.797","95","5"
"Alonso, Pete","624413","2023","28","568","123","46",".217",".504",".318","0.822","118","4"
"Soler, Jorge","624585","2023","31","504","126","36",".250",".512",".341","0.853","75","1"
"Cronenworth, Jake","630105","2023","29","458","105","10",".229",".378",".312","0.690","48","6"
"Anderson, Tim","641313","2023","30","493","121","1",".245",".296",".286","0.582","25","13"
"Bellinger, Cody","641355","2023","27","499","153","26",".307",".525",".356","0.881","97","20"
"Crawford, J.P.","641487","2023","28","534","142","19",".266",".438",".380","0.818","65","2"
"McMahon, Ryan","641857","2023","28","555","133","23",".240",".431",".322","0.753","70","5"
"Smith, Dominic","642086","2023","28","527","134","12",".254",".366",".326","0.692","46","1"
"Rosario, Amed","642708","2023","27","510","134","6",".263",".378",".305","0.683","58","15"
"Adames, Willy","642715","2023","27","553","120","24",".217",".407",".310","0.717","80","5"
"Estrada, Thairo","642731","2023","27","495","134","14",".271",".416",".315","0.731","49","23"
"Benintendi, Andrew","643217","2023","28","562","147","5",".262",".356",".326","0.682","45","13"
"McNeil, Jeff","643446","2023","31","585","158","10",".270",".378",".333","0.711","55","10"
"Albies, Ozzie","645277","2023","26","596","167","33",".280",".513",".336","0.849","109","13"
"Devers, Rafael","646240","2023","26","580","157","33",".271",".500",".351","0.851","100","5"
"Arraez, Luis","650333","2023","26","574","203","10",".354",".469",".393","0.862","69","3"
"Torres, Gleyber","650402","2023","26","596","163","25",".273",".453",".347","0.800","68","13"
"Díaz, Yandy","650490","2023","31","525","173","22",".330",".522",".410","0.932","78","0"
"De La Cruz, Bryan","650559","2023","26","579","149","19",".257",".411",".304","0.715","78","4"
"Chapman, Matt","656305","2023","30","509","122","17",".240",".424",".330","0.754","54","4"
"McKinstry, Zach","656716","2023","28","464","107","9",".231",".351",".302","0.653","35","16"
"Schwarber, Kyle","656941","2023","30","585","115","47",".197",".474",".343","0.817","104","0"
"Thomas, Lane","657041","2023","27","628","168","28",".268",".468",".315","0.783","86","20"
"Verdugo, Alex","657077","2023","27","546","144","13",".264",".421",".324","0.745","54","5"
"Ohtani, Shohei","660271","2023","28","497","151","44",".304",".654",".412","1.066","95","20"
"Acuña Jr., Ronald","660670","2023","25","643","217","41",".337",".596",".416","1.012","106","73"
"Ruiz, Keibert","660688","2023","24","523","136","18",".260",".409",".308","0.717","67","1"
"Contreras, William","661388","2023","25","540","156","17",".289",".457",".367","0.824","78","6"
"Varsho, Daulton","662139","2023","26","527","116","20",".220",".389",".285","0.674","61","16"
"Nootbaar, Lars","663457","2023","25","426","111","14",".261",".418",".367","0.785","46","11"
"Hoerner, Nico","663538","2023","26","619","175","9",".283",".383",".346","0.729","68","43"
"Riley, Austin","663586","2023","26","636","179","37",".281",".516",".345","0.861","97","3"
"Hayes, Ke'Bryan","663647","2023","26","494","134","15",".271",".453",".309","0.762","61","10"
"Tucker, Kyle","663656","2023","26","574","163","29",".284",".517",".369","0.886","112","30"
"India, Jonathan","663697","2023","26","454","111","17",".244",".407",".338","0.745","61","14"
"Raleigh, Cal","663728","2023","26","513","119","30",".232",".456",".306","0.762","75","0"
"Grisham, Trent","663757","2023","26","469","93","13",".198",".352",".315","0.667","50","15"
"Vierling, Matt","663837","2023","26","479","125","10",".261",".388",".329","0.717","44","6"
"Stephenson, Tyler","663886","2023","26","465","113","13",".243",".378",".317","0.695","56","0"
"Lowe, Nathaniel","663993","2023","27","623","163","17",".262",".414",".360","0.774","82","1"
"Happ, Ian","664023","2023","28","580","144","21",".248",".431",".360","0.791","84","14"
"France, Ty","664034","2023","28","587","147","12",".250",".366",".337","0.703","58","1"
"Straw, Myles","664702","2023","28","462","110","1",".238",".297",".301","0.598","29","20"
"Bohm, Alec","664761","2023","26","558","153","20",".274",".437",".327","0.764","97","4"
"Wade Jr., LaMonte","664774","2023","29","429","110","17",".256",".417",".373","0.790","45","2"
"Peña, Jeremy","665161","2023","25","577","152","10",".263",".381",".324","0.705","52","13"
"Tatis Jr., Fernando","665487","2023","24","575","148","25",".257",".449",".322","0.771","78","29"
"Guerrero Jr., Vladimir","665489","2023","24","602","159","26",".264",".444",".345","0.789","94","5"
"Soto, Juan","665742","2023","24","568","156","35",".275",".519",".410","0.929","109","12"
"Taveras, Leody","665750","2023","24","511","136","14",".266",".421",".312","0.733","67","14"
"Giménez, Andrés","665926","2023","24","557","140","15",".251",".399",".314","0.713","62","30"
"Bichette, Bo","666182","2023","25","571","175","20",".306",".475",".339","0.814","73","5"
"García, Adolis","666969","2023","30","555","136","39",".245",".508",".328","0.836","107","9"
"Gurriel Jr., Lourdes","666971","2023","29","551","144","24",".261",".463",".309","0.772","82","5"
"Rooker Jr., Brent","667670","2023","28","463","114","30",".246",".488",".329","0.817","69","4"
"Arozarena, Randy","668227","2023","28","551","140","23",".254",".425",".364","0.789","83","22"
"Steer, Spencer","668715","2023","25","582","158","23",".271",".464",".356","0.820","86","15"
"Reynolds, Bryan","668804","2023","28","574","151","24",".263",".460",".330","0.790","84","12"
"Rutschman, Adley","668939","2023","25","588","163","20",".277",".435",".374","0.809","80","1"
"Melendez Jr., MJ","669004","2023","24","533","125","16",".235",".398",".316","0.714","56","6"
"Edman, Tommy","669242","2023","28","479","119","13",".248",".399",".307","0.706","47","27"
"Smith, Will","669257","2023","28","464","121","19",".261",".438",".359","0.797","76","3"
"Suwinski, Jack","669261","2023","24","447","100","26",".224",".454",".339","0.793","74","13"
"Burger, Jake","669394","2023","27","492","123","34",".250",".518",".309","0.827","80","1"
"Hays, Austin","669720","2023","27","520","143","16",".275",".444",".325","0.769","67","5"
"Paredes, Isaac","670623","2023","24","492","123","31",".250",".488",".352","0.840","98","1"
"Friedl Jr., TJ","670770","2023","27","488","136","18",".279",".467",".352","0.819","66","27"
"Casas, Triston","671213","2023","23","429","113","24",".263",".490",".367","0.857","65","0"
"Harris II, Michael","671739","2023","22","505","148","18",".293",".477",".331","0.808","57","20"
"Garcia, Maikel","672580","2023","23","464","126","4",".272",".358",".323","0.681","50","23"
"Robert Jr., Luis","673357","2023","25","546","144","38",".264",".542",".315","0.857","80","20"
"Kim, Ha-Seong","673490","2023","27","538","140","17",".260",".398",".351","0.749","60","38"
"Suzuki, Seiya","673548","2023","28","515","147","20",".285",".485",".357","0.842","74","6"
"Jung, Josh","673962","2023","25","478","127","23",".266",".467",".315","0.782","70","1"
"Rodríguez, Julio","677594","2023","22","654","180","32",".275",".485",".333","0.818","103","37"
"Witt Jr., Bobby","677951","2023","23","641","177","30",".276",".495",".319","0.814","96","49"
"Tovar, Ezequiel","678662","2023","21","581","147","15",".253",".408",".287","0.695","73","11"
"Torkelson, Spencer","679529","2023","23","606","141","31",".233",".446",".313","0.759","94","3"
"Kwan, Steven","680757","2023","25","638","171","5",".268",".370",".340","0.710","54","21"
"Stott, Bryson","681082","2023","25","585","164","15",".280",".419",".329","0.748","62","31"
"Outman, James","681546","2023","26","483","120","23",".248",".437",".353","0.790","70","16"
"Abrams, CJ","682928","2023","22","563","138","18",".245",".412",".300","0.712","64","47"
"Carroll, Corbin","682998","2023","22","565","161","25",".285",".506",".362","0.868","76","54"
"Henderson, Gunnar","683002","2023","22","560","143","28",".255",".489",".325","0.814","82","10"
"Volpe, Anthony","683011","2023","22","541","113","21",".209",".383",".283","0.666","60","24"
"Vaughn, Andrew","683734","2023","25","566","146","21",".258",".429",".314","0.743","80","0"
"Yoshida, Masataka","807799","2023","29","537","155","15",".289",".445",".338","0.783","72","8"
"Blackmon, Charlie","453568","2024","37","40","13","1",".325",".575",".372","0.947","6","1"
"Turner, Justin","457759","2024","39","31","9","1",".290",".548",".410","0.958","5","0"
"Santana, Carlos","467793","2024","38","29","4","0",".138",".172",".242","0.414","1","0"
"Goldschmidt, Paul","502671","2024","36","40","8","1",".200",".275",".319","0.594","6","0"
"Altuve, Jose","514888","2024","34","44","15","3",".341",".636",".408","1.044","3","0"
"Marte, Starling","516782","2024","35","38","10","1",".263",".368",".333","0.701","2","2"
"Freeman, Freddie","518692","2024","34","46","16","1",".348",".457",".466","0.923","8","1"
"Rizzo, Anthony","519203","2024","34","41","9","1",".220",".317",".333","0.650","4","0"
"Stanton, Giancarlo","519317","2024","34","36","9","3",".250",".556",".270","0.826","6","0"
"Perez, Salvador","521692","2024","34","39","13","2",".333",".513",".366","0.879","9","0"
"Ozuna, Marcell","542303","2024","33","40","13","5",".325",".750",".341","1.091","12","0"
"Rendon, Anthony","543685","2024","34","37","6","0",".162",".216",".205","0.421","0","0"
"Semien, Marcus","543760","2024","33","40","11","1",".275",".375",".396","0.771","9","0"
"Springer III, George","543807","2024","34","42","7","2",".167",".357",".300","0.657","2","0"
"Trout, Mike","545361","2024","32","37","11","5",".297",".757",".381","1.138","6","2"
"Harper, Bryce","547180","2024","31","34","9","3",".265",".588",".359","0.947","7","1"
"Abreu, José","547989","2024","37","30","2","0",".067",".067",".152","0.219","0","0"
"Díaz, Elias","553869","2024","33","30","9","1",".300",".400",".333","0.733","5","0"
"Suárez, Eugenio","553993","2024","32","42","12","1",".286",".405",".354","0.759","7","0"
"Arenado, Nolan","571448","2024","33","46","12","0",".261",".326",".271","0.597","4","0"
"Haniger, Mitch","571745","2024","33","35","9","1",".257",".400",".333","0.733","4","0"
"Muncy, Max","571970","2024","33","44","12","1",".273",".409",".353","0.762","7","0"
"Walker, Christian","572233","2024","33","45","12","3",".267",".489",".353","0.842","10","0"
"Bryant, Kris","592178","2024","32","32","4","1",".125",".219",".263","0.482","4","0"
"Canha, Mark","592192","2024","35","29","6","2",".207",".448",".395","0.843","4","1"
"Castellanos, Nick","592206","2024","32","35","4","0",".114",".114",".244","0.358","2","0"
"Drury, Brandon","592273","2024","31","31","5","0",".161",".161",".278","0.439","1","0"
"Judge, Aaron","592450","2024","32","40","7","2",".175",".375",".333","0.708","6","0"
"Machado, Manny","592518","2024","31","50","9","2",".180",".340",".268","0.608","7","0"
"Realmuto, J.T.","592663","2024","33","30","9","2",".300",".500",".364","0.864","4","0"
"Yelich, Christian","592885","2024","32","30","9","4",".300",".700",".382","1.082","6","2"
"Bogaerts, Xander","593428","2024","31","52","13","1",".250",".327",".304","0.631","6","1"
"Polanco, Jorge","593871","2024","30","40","7","1",".175",".250",".267","0.517","3","0"
"Profar, Jurickson","595777","2024","31","39","12","1",".308",".487",".426","0.913","7","0"
"Lindor, Francisco","596019","2024","30","40","3","1",".075",".175",".208","0.383","2","0"
"Story, Trevor","596115","2024","31","31","7","0",".226",".323",".294","0.617","4","1"
"Candelario, Jeimer","600869","2024","30","38","7","1",".184",".368",".256","0.624","4","0"
"Ahmed, Nick","605113","2024","34","32","7","0",".219",".250",".265","0.515","3","0"
"Bell, Josh","605137","2024","31","42","9","1",".214",".310",".313","0.623","6","0"
"Betts, Mookie","605141","2024","31","48","18","5",".375",".792",".508","1.300","11","2"
"Davis, J.D.","605204","2024","31","34","9","2",".265",".500",".324","0.824","2","0"
"Arcia, Orlando","606115","2024","29","36","15","0",".417",".556",".447","1.003","2","0"
"Hernández, Teoscar","606192","2024","31","50","14","4",".280",".560",".333","0.893","14","1"
"Marte, Ketel","606466","2024","30","46","13","3",".283",".543",".340","0.883","7","1"
"Nimmo, Brandon","607043","2024","31","33","7","2",".212",".424",".395","0.819","8","1"
"Turner, Trea","607208","2024","31","41","11","0",".268",".317",".318","0.635","3","3"
"Ramírez, José","608070","2024","31","46","12","2",".261",".478",".277","0.755","9","0"
"Bregman, Alex","608324","2024","30","40","9","0",".225",".300",".311","0.611","2","1"
"Gallo, Joey","608336","2024","30","33","6","2",".182",".455",".308","0.763","3","1"
"Seager, Corey","608369","2024","30","38","14","1",".368",".474",".442","0.916","5","0"
"Winker, Jesse","608385","2024","30","26","7","0",".269",".308",".457","0.765","2","0"
"Meneses, Joey","608841","2024","32","38","8","0",".211",".237",".295","0.532","2","0"
"Swanson, Dansby","621020","2024","30","33","10","2",".303",".576",".415","0.991","7","1"
"Correa, Carlos","621043","2024","29","26","8","0",".308",".385",".471","0.856","3","0"
"Buxton, Byron","621439","2024","30","30","7","0",".233",".333",".303","0.636","4","0"
"Ward, Taylor","621493","2024","30","42","13","3",".310",".571",".326","0.897","11","1"
"Olson, Matt","621566","2024","30","37","11","3",".297",".703",".381","1.084","8","0"
"Ramírez, Harold","623912","2024","29","42","10","0",".238",".262",".238","0.500","3","0"
"Santander, Anthony","623993","2024","29","37","8","2",".216",".432",".231","0.663","10","0"
"Alonso, Pete","624413","2024","29","42","7","2",".167",".310",".222","0.532","3","0"
"Biggio, Cavan","624415","2024","29","28","7","1",".250",".429",".364","0.793","4","0"
"Conforto, Michael","624424","2024","31","37","13","3",".351",".703",".415","1.118","10","0"
"Soler, Jorge","624585","2024","32","40","9","2",".225",".450",".319","0.769","3","0"
"Cronenworth, Jake","630105","2024","30","48","15","1",".313",".500",".382","0.882","11","0"
"Anderson, Tim","641313","2024","31","42","11","0",".262",".286",".295","0.581","1","1"
"Bellinger, Cody","641355","2024","28","39","9","2",".231",".410",".326","0.736","10","0"
"Crawford, J.P.","641487","2024","29","43","6","2",".140",".279",".213","0.492","4","0"
"Heim, Jonah","641680","2024","29","34","8","0",".235",".294",".235","0.529","4","0"
"McMahon, Ryan","641857","2024","29","41","17","2",".415",".610",".468","1.078","8","0"
"O'Neill, Tyler","641933","2024","29","28","10","5",".357",".893",".514","1.407","5","1"
"Tellez, Rowdy","642133","2024","29","29","8","1",".276",".379",".400","0.779","6","0"
"Siri, Jose","642350","2024","28","35","9","1",".257",".400",".395","0.795","3","6"
"Adames, Willy","642715","2024","28","35","9","2",".257",".457",".350","0.807","4","1"
"Estrada, Thairo","642731","2024","28","43","7","1",".163",".256",".159","0.415","6","0"
"Benintendi, Andrew","643217","2024","29","39","6","0",".154",".154",".214","0.368","1","0"
"McNeil, Jeff","643446","2024","32","28","4","1",".143",".250",".273","0.523","1","0"
"Albies, Ozzie","645277","2024","27","38","11","2",".289",".526",".357","0.883","10","1"
"Devers, Rafael","646240","2024","27","32","7","2",".219",".469",".342","0.811","3","0"
"Naylor, Josh","647304","2024","27","33","10","1",".303",".455",".359","0.814","5","0"
"Arraez, Luis","650333","2024","27","44","11","0",".250",".341",".340","0.681","0","0"
"Torres, Gleyber","650402","2024","27","45","10","0",".222",".267",".308","0.575","2","2"
"Díaz, Yandy","650490","2024","32","44","10","1",".227",".341",".286","0.627","9","0"
"De La Cruz, Bryan","650559","2024","27","48","14","1",".292",".375",".292","0.667","1","0"
"Chapman, Matt","656305","2024","31","44","8","2",".182",".364",".250","0.614","9","0"
"Hoskins, Rhys","656555","2024","31","29","6","2",".207",".414",".314","0.728","6","0"
"Joe, Connor","656582","2024","31","37","12","1",".324",".541",".444","0.985","9","1"
"Schwarber, Kyle","656941","2024","31","41","9","2",".220",".366",".289","0.655","5","1"
"Thomas, Lane","657041","2024","28","39","9","1",".231",".308",".311","0.619","7","6"
"Verdugo, Alex","657077","2024","28","38","8","1",".211",".316",".295","0.611","4","0"
"Moncada, Yoán","660162","2024","29","37","10","0",".270",".405",".357","0.762","0","1"
"Ohtani, Shohei","660271","2024","29","55","19","3",".345",".673",".383","1.056","8","1"
"Acuña Jr., Ronald","660670","2024","26","36","8","0",".222",".278",".333","0.611","4","1"
"Ruiz, Keibert","660688","2024","25","31","6","1",".194",".290",".265","0.555","3","0"
"Contreras, William","661388","2024","26","36","14","2",".389",".667",".439","1.106","9","0"
"Varsho, Daulton","662139","2024","27","30","4","0",".133",".167",".235","0.402","0","0"
"Hoerner, Nico","663538","2024","27","32","5","0",".156",".188",".372","0.560","0","0"
"Riley, Austin","663586","2024","27","39","10","2",".256",".487",".310","0.797","8","0"
"Mountcastle, Ryan","663624","2024","27","34","10","1",".294",".529",".350","0.879","8","0"
"Hayes, Ke'Bryan","663647","2024","27","44","13","0",".295",".364",".396","0.760","5","0"
"Tucker, Kyle","663656","2024","27","44","12","2",".273",".455",".347","0.802","7","1"
"India, Jonathan","663697","2024","27","33","8","0",".242",".333",".405","0.738","3","1"
"Rodgers, Brendan","663898","2024","27","38","7","0",".184",".237",".205","0.442","0","0"
"Happ, Ian","664023","2024","29","40","13","0",".325",".450",".438","0.888","8","0"
"Bohm, Alec","664761","2024","27","34","8","0",".235",".353",".350","0.703","6","1"
"Wade Jr., LaMonte","664774","2024","30","30","10","0",".333",".433",".429","0.862","0","0"
"Brown, Seth","664913","2024","31","32","5","0",".156",".156",".229","0.385","3","0"
"Walsh, Jared","665120","2024","30","35","11","1",".314",".457",".385","0.842","5","0"
"Peña, Jeremy","665161","2024","26","40","13","2",".325",".500",".357","0.857","7","1"
"Tatis Jr., Fernando","665487","2024","25","49","14","4",".286",".551",".352","0.903","8","2"
"Guerrero Jr., Vladimir","665489","2024","25","41","9","2",".220",".415",".347","0.762","4","0"
"Soto, Juan","665742","2024","25","42","15","2",".357",".548",".462","1.010","10","0"
"Taveras, Leody","665750","2024","25","28","7","0",".250",".393",".344","0.737","1","1"
"Cabrera, Oswaldo","665828","2024","25","33","11","2",".333",".545",".389","0.934","8","0"
"Cruz, Oneil","665833","2024","25","46","14","2",".304",".457",".347","0.804","4","1"
"Valdez, Enmanuel","665839","2024","25","32","4","1",".125",".219",".143","0.362","6","0"
"Chisholm Jr., Jazz","665862","2024","26","34","7","2",".206",".412",".357","0.769","8","1"
"Giménez, Andrés","665926","2024","25","37","12","0",".324",".514",".422","0.936","7","1"
"Jones, Nolan","666134","2024","26","42","8","0",".190",".286",".292","0.578","4","1"
"Lux, Gavin","666158","2024","26","36","6","0",".167",".194",".211","0.405","1","0"
"Benson, Will","666181","2024","26","35","9","2",".257",".629",".333","0.962","6","2"
"Bichette, Bo","666182","2024","26","35","7","0",".200",".314",".300","0.614","3","0"
"Morel, Christopher","666624","2024","25","40","12","2",".300",".525",".333","0.858","6","0"
"García, Adolis","666969","2024","31","41","11","4",".268",".585",".311","0.896","11","1"
"Gurriel Jr., Lourdes","666971","2024","30","47","14","3",".298",".532",".365","0.897","12","1"
"Arozarena, Randy","668227","2024","29","37","8","2",".216",".378",".293","0.671","4","2"
"Bleday, JJ","668709","2024","26","39","11","1",".282",".462",".333","0.795","5","0"
"Steer, Spencer","668715","2024","26","37","14","3",".378",".757",".465","1.222","14","2"
"Reynolds, Bryan","668804","2024","29","48","12","2",".250",".458",".357","0.815","10","0"
"Turang, Brice","668930","2024","24","29","11","1",".379",".586",".424","1.010","7","7"
"Rutschman, Adley","668939","2024","26","33","10","0",".303",".364",".385","0.749","5","0"
"Melendez Jr., MJ","669004","2024","25","31","10","3",".323",".742",".382","1.124","8","0"
"Campusano, Luis","669134","2024","25","40","14","1",".350",".500",".366","0.866","8","0"
"Smith, Will","669257","2024","29","45","18","0",".400",".489",".429","0.918","9","0"
"Suwinski, Jack","669261","2024","25","38","8","1",".211",".316",".295","0.611","3","0"
"Gorman, Nolan","669357","2024","24","41","8","2",".195",".390",".267","0.657","7","0"
"Burger, Jake","669394","2024","28","42","12","2",".286",".476",".319","0.795","12","0"
"Triolo, Jared","669707","2024","26","40","11","1",".275",".375",".356","0.731","5","1"
"Alvarez, Yordan","670541","2024","27","44","13","4",".295",".614",".367","0.981","9","0"
"Paredes, Isaac","670623","2024","25","39","10","3",".256",".513",".310","0.823","8","0"
"Casas, Triston","671213","2024","24","38","9","1",".237",".342",".326","0.668","3","0"
"Freeman, Tyler","671289","2024","25","31","6","1",".194",".323",".257","0.580","5","2"
"Harris II, Michael","671739","2024","23","36","13","2",".361",".639",".425","1.064","6","1"
"Kirk, Alejandro","672386","2024","25","34","6","0",".176",".176",".237","0.413","7","0"
"Moreno, Gabriel","672515","2024","24","31","5","0",".161",".258",".297","0.555","6","0"
"Garcia, Maikel","672580","2024","24","41","10","3",".244",".561",".273","0.834","9","1"
"Diaz, Yainer","673237","2024","25","38","12","2",".316",".500",".366","0.866","4","0"
"Kim, Ha-Seong","673490","2024","28","48","10","1",".208",".354",".291","0.645","7","3"
"Suzuki, Seiya","673548","2024","29","38","11","2",".289",".526",".383","0.909","12","0"
"Westburg, Jordan","676059","2024","25","31","6","1",".194",".355",".242","0.597","5","0"
"Noda, Ryan","676116","2024","28","33","7","0",".212",".242",".316","0.558","1","0"
"Burleson, Alec","676475","2024","25","33","6","0",".182",".242",".206","0.448","2","0"
"Caballero, José","676609","2024","27","30","9","0",".300",".367",".333","0.700","3","4"
"McCormick, Chas","676801","2024","29","33","7","0",".212",".273",".350","0.623","3","1"
"Rocchio, Brayan","677587","2024","23","33","9","0",".273",".424",".333","0.757","2","0"
"Rodríguez, Julio","677594","2024","23","43","8","0",".186",".209",".239","0.448","3","2"
"Witt Jr., Bobby","677951","2024","24","40","14","2",".350",".675",".409","1.084","2","2"
"Tovar, Ezequiel","678662","2024","22","39","11","2",".282",".487",".364","0.851","6","1"
"Rafaela, Ceddanne","678882","2024","23","30","7","0",".233",".400",".286","0.686","5","1"
"Torkelson, Spencer","679529","2024","24","42","8","0",".190",".262",".244","0.506","2","0"
"Kwan, Steven","680757","2024","26","47","18","1",".383",".489",".396","0.885","3","1"
"Duran, Jarren","680776","2024","27","43","15","1",".349",".419",".404","0.823","5","6"
"Davis, Henry","680779","2024","24","30","4","0",".133",".200",".243","0.443","2","0"
"Gelof, Zack","680869","2024","24","37","9","1",".243",".432",".349","0.781","4","2"
"Donovan, Brendan","680977","2024","27","36","10","1",".278",".472",".422","0.894","6","0"
"Stott, Bryson","681082","2024","26","30","6","0",".200",".233",".324","0.557","3","2"
"O'Hoppe, Logan","681351","2024","24","31","11","1",".355",".548",".429","0.977","6","0"
"Outman, James","681546","2024","27","36","5","1",".139",".250",".262","0.512","4","0"
"Alvarez, Francisco","682626","2024","22","32","9","1",".281",".469",".324","0.793","4","0"
"De La Cruz, Elly","682829","2024","22","37","11","2",".297",".595",".366","0.961","5","6"
"Greene, Riley","682985","2024","23","36","7","3",".194",".472",".326","0.798","5","0"
"Carroll, Corbin","682998","2024","23","40","9","0",".225",".250",".340","0.590","1","3"
"Henderson, Gunnar","683002","2024","23","34","7","2",".206",".441",".282","0.723","6","2"
"Volpe, Anthony","683011","2024","23","36","15","2",".417",".667",".488","1.155","6","3"
"Baty, Brett","683146","2024","24","36","12","1",".333",".417",".385","0.802","5","0"
"Vaughn, Andrew","683734","2024","26","35","6","0",".171",".171",".256","0.427","2","0"
"Busch, Michael","683737","2024","26","31","8","1",".258",".419",".333","0.752","5","0"
"Frelick, Sal","686217","2024","24","30","8","0",".267",".300",".353","0.653","2","2"
"Pasquantino, Vinnie","686469","2024","26","33","4","0",".121",".121",".216","0.337","0","0"
"Doyle, Brenton","686668","2024","26","40","11","2",".275",".525",".310","0.835","5","0"
"Neto, Zach","687263","2024","23","35","7","0",".200",".257",".243","0.500","4","1"
"Scott II, Victor","687363","2024","23","39","3","0",".077",".128",".163","0.291","0","2"
"Encarnacion-Strand, Christian","687952","2024","24","44","6","1",".136",".250",".133","0.383","5","0"
"Keith, Colt","690993","2024","22","32","8","0",".250",".281",".333","0.614","3","1"
"Walker, Jordan","691023","2024","22","33","6","0",".182",".273",".263","0.536","2","0"
"Winn, Masyn","691026","2024","22","30","10","0",".333",".400",".344","0.744","3","1"
"Chourio, Jackson","694192","2024","20","36","10","2",".278",".472",".316","0.788","7","1"
"Schanuel, Nolan","694384","2024","22","27","2","1",".074",".185",".297","0.482","4","0"
"Carter, Evan","694497","2024","21","29","5","0",".172",".276",".385","0.661","2","1"
"Langford, Wyatt","694671","2024","22","43","11","0",".256",".326",".298","0.624","6","0"
"Merrill, Jackson","701538","2024","21","37","12","1",".324",".459",".405","0.864","2","1"
"Lipscomb III, Trey","702358","2024","24","34","9","1",".265",".353",".286","0.639","3","4"
"Yoshida, Masataka","807799","2024","30","33","8","0",".242",".303",".342","0.645","3","0"
"Lee, Jung Hoo","808982","2024","25","42","10","1",".238",".333",".306","0.639","4","0"
